"作品Title/曲名","Video /BGA      (optional)","sequenceId","bg","提交時間","ID","Created Date","Updated Date","Owner","作品Title/曲名的複本","isDQ"
"馬→午马→UMA！","wix:video://v1/d7892a_9022c2ce1b99445cb6e97539dfa72116/pv.mp4#posterUri=d7892a_9022c2ce1b99445cb6e97539dfa72116f001.jpg&posterWidth=1082&posterHeight=608","33","wix:image://v1/d7892a_9a300cdd692a41e8bc0815f9913edf17~mv2.jpg/bg.jpg#originWidth=800&originHeight=800","2026-04-09T11:22:15Z","work-row-0046","2026-04-09T11:22:16Z","2026-05-09T18:14:20Z","user-0075","","true"
"WAVE (feat. Lily)","","105","wix:image://v1/e5a8e1_1c607f0c97d4450cbc24e299d36e922b~mv2.jpg/bg.jpg#originWidth=1400&originHeight=1400","2026-04-10T09:02:48Z","work-row-0047","2026-04-10T09:02:49Z","2026-05-09T18:16:05Z","user-0033","","true"
"日常と地球の額縁","","58","wix:image://v1/638afc_f90e65f489fd4b4c95893722cc50b04f~mv2.jpg/bg.jpg#originWidth=1500&originHeight=1500","2026-04-09T15:44:28Z","work-row-0048","2026-04-09T15:44:28Z","2026-04-25T04:24:34Z","user-0278","","true"
"Sort Jewel","wix:video://v1/aa2b05_da219c613fd44061a12214f9a9081b3c/bg.mp4#posterUri=aa2b05_da219c613fd44061a12214f9a9081b3cf001.jpg&posterWidth=1280&posterHeight=720","106","wix:image://v1/aa2b05_d7bfc5d402124fc9a525dccb7b60eabe~mv2.png/bg.png#originWidth=1920&originHeight=1920","2026-04-10T09:04:02Z","work-row-0049","2026-04-10T09:04:02Z","2026-05-09T16:52:42Z","user-0039","","true"
"SeventH-HeaveN 2020-2021","wix:video://v1/7b192a_f7e3d2184cc940d1b8bd90db6a0d198f/bg.mp4#posterUri=7b192a_f7e3d2184cc940d1b8bd90db6a0d198ff001.jpg&posterWidth=1920&posterHeight=1080","231","wix:image://v1/7b192a_77519bed47c04330b3f466444ffe17f9~mv2.jpg/bg.jpg#originWidth=1439&originHeight=1439","2026-04-22T08:49:41Z","work-row-0050","2026-04-22T08:49:42Z","2026-05-09T18:19:32Z","user-0196","","true"
"クローバー♣クラブ","wix:video://v1/b97564_ccd06d7197474dda83913d16465379e0/bg.mp4#posterUri=b97564_ccd06d7197474dda83913d16465379e0f001.jpg&posterWidth=600&posterHeight=600","52","wix:image://v1/b97564_860de417319b40f09b9c68809392cb55~mv2.png/bg.png#originWidth=256&originHeight=256","2026-04-09T15:10:02Z","work-row-0051","2026-04-09T15:10:04Z","2026-04-25T04:24:30Z","user-0011","","true"
"LiFE","","235","wix:image://v1/8267d8_9653c9b8d14046d19977a6a67518ff13~mv2.jpg/bg.jpg#originWidth=1400&originHeight=1400","2026-04-22T17:39:31Z","work-row-0052","2026-04-22T17:39:32Z","2026-04-22T17:39:36Z","user-0080","",""
"D/N/A","","4","wix:image://v1/71bb40_14f1162184f1449bbd39e6f94a37b2e9~mv2.png/bg.png#originWidth=800&originHeight=800","2026-04-09T04:49:31Z","work-row-0053","2026-04-09T04:49:32Z","2026-04-25T04:23:05Z","user-0013","","true"
"ヰヱロウ","","27","wix:image://v1/1d10fb_5336c420b35840fba615ac214b424013~mv2.jpg/bg.jpg#originWidth=960&originHeight=960","2026-04-09T07:38:25Z","work-row-0054","2026-04-09T07:38:26Z","2026-05-09T18:14:16Z","user-0107","","true"
"まだ、不定形","wix:video://v1/0c5bf9_577db6a6e90f4edca892e627181ef3f2/bg.mp4#posterUri=0c5bf9_577db6a6e90f4edca892e627181ef3f2f001.jpg&posterWidth=854&posterHeight=480","245","wix:image://v1/0c5bf9_d0f111a03f5f42fc880b19f0e274d9d9~mv2.png/bg.png#originWidth=3000&originHeight=3000","2026-04-26T05:30:03Z","work-row-0055","2026-04-26T05:30:04Z","2026-05-09T18:19:59Z","user-0151","","true"
